Node	Time	ActivationFactorDwnRegulation
2	1	0.3
2	2	0.3
2	3	0.4
2	4	0.5
2	5	0.2
2	6	0.3
2	7	0.3
2	8	0.4
2	9	0.4
2	10	0.4
2	11	0.4
2	12	0.3
2	13	0.3
2	14	0.5
2	15	0.4
2	16	0.3
2	17	0.5
2	18	0.4
2	19	0.3
2	20	0.3
2	21	0.3
2	22	0.4
2	23	0.3
2	24	0.4
3	1	0.38
3	2	0.4
3	3	0.34
3	4	0.46
3	5	0.38
3	6	0.4
3	7	0.38
3	8	0.5
3	9	0.4
3	10	0.38
3	11	0.48
3	12	0.38
3	13	0.42
3	14	0.34
3	15	0.32
3	16	0.4
3	17	0.4
3	18	0.36
3	19	0.38
3	20	0.38
3	21	0.42
3	22	0.46
3	23	0.38
3	24	0.4
4	1	0.416
4	2	0.392
4	3	0.368
4	4	0.416
4	5	0.428
4	6	0.388
4	7	0.412
4	8	0.392
4	9	0.416
4	10	0.396
4	11	0.424
4	12	0.384
4	13	0.412
4	14	0.392
4	15	0.4
4	16	0.42
4	17	0.416
4	18	0.396
4	19	0.42
4	20	0.396
4	21	0.396
4	22	0.36
4	23	0.408
4	24	0.392
5	1	0.3968
5	2	0.3952
5	3	0.3968
5	4	0.3984
5	5	0.4112
5	6	0.404
5	7	0.3912
5	8	0.3832
5	9	0.408
5	10	0.404
5	11	0.416
5	12	0.4064
5	13	0.4056
5	14	0.408
5	15	0.3856
5	16	0.4032
5	17	0.3888
5	18	0.4096
5	19	0.3976
5	20	0.4088
5	21	0.404
5	22	0.4056
5	23	0.412
5	24	0.388
6	1	0.40384
6	2	0.39504
6	3	0.39248
6	4	0.39888
6	5	0.40288
6	6	0.39824
6	7	0.40592
6	8	0.3936
6	9	0.40128
6	10	0.40112
6	11	0.39328
6	12	0.39792
6	13	0.4016
6	14	0.40112
6	15	0.40432
6	16	0.40448
6	17	0.39728
6	18	0.39888
6	19	0.39808
6	20	0.39936
6	21	0.4016
6	22	0.40352
6	23	0.39792
6	24	0.39616
