Node	Time	ActivationFactorID_Dwn_Reg
2	1	0.3
2	2	0.3
2	3	0.2
2	4	0.1
2	5	0.1
2	6	0.2
2	7	0.2
2	8	0.1
2	9	0.3
2	10	0.5
2	11	0.0
2	12	0.1
2	13	0.1
2	14	0.5
2	15	0.1
2	16	0.2
2	17	0.2
2	18	0.4
2	19	0.4
2	20	0.3
2	21	0.0
2	22	0.1
2	23	0.2
2	24	0.2
3	1	0.22
3	2	0.22
3	3	0.28
3	4	0.16
3	5	0.1
3	6	0.2
3	7	0.2
3	8	0.2
3	9	0.2
3	10	0.08
3	11	0.18
3	12	0.12
3	13	0.2
3	14	0.18
3	15	0.16
3	16	0.22
3	17	0.22
3	18	0.3
3	19	0.12
3	20	0.16
3	21	0.22
3	22	0.2
3	23	0.12
3	24	0.22
4	1	0.232
4	2	0.2
4	3	0.18
4	4	0.196
4	5	0.18
4	6	0.18
4	7	0.176
4	8	0.232
4	9	0.196
4	10	0.14
4	11	0.188
4	12	0.172
4	13	0.22
4	14	0.204
4	15	0.212
4	16	0.204
4	17	0.236
4	18	0.212
4	19	0.24
4	20	0.152
4	21	0.176
4	22	0.196
4	23	0.172
4	24	0.228
5	1	0.1944
5	2	0.2056
5	3	0.2016
5	4	0.1896
5	5	0.2136
5	6	0.2008
5	7	0.1864
5	8	0.192
5	9	0.204
5	10	0.2032
5	11	0.192
5	12	0.1992
5	13	0.1936
5	14	0.1776
5	15	0.188
5	16	0.2
5	17	0.1992
5	18	0.1864
5	19	0.2024
5	20	0.2136
5	21	0.2024
5	22	0.2064
5	23	0.1944
5	24	0.1792
6	1	0.20048
6	2	0.1968
6	3	0.20368
6	4	0.1968
6	5	0.20496
6	6	0.20288
6	7	0.20848
6	8	0.20256
6	9	0.20224
6	10	0.2072
6	11	0.20384
6	12	0.196
6	13	0.2072
6	14	0.19808
6	15	0.19968
6	16	0.2016
6	17	0.20288
6	18	0.20112
6	19	0.1968
6	20	0.20176
6	21	0.20256
6	22	0.20176
6	23	0.20064
6	24	0.204
