Node	Time	ActivationFactorID_UP_Reg
2	1	0.3
2	2	0.4
2	3	0.4
2	4	0.3
2	5	0.8
2	6	0.3
2	7	0.3
2	8	0.3
2	9	0.4
2	10	0.1
2	11	0.1
2	12	0.2
2	13	0.3
2	14	0.5
2	15	0.4
2	16	0.2
2	17	0.2
2	18	0.3
2	19	0.2
2	20	0.3
2	21	0.3
2	22	0.3
2	23	0.4
2	24	0.3
3	1	0.28
3	2	0.36
3	3	0.24
3	4	0.28
3	5	0.32
3	6	0.3
3	7	0.28
3	8	0.34
3	9	0.32
3	10	0.26
3	11	0.44
3	12	0.4
3	13	0.42
3	14	0.3
3	15	0.22
3	16	0.4
3	17	0.26
3	18	0.22
3	19	0.28
3	20	0.36
3	21	0.18
3	22	0.4
3	23	0.36
3	24	0.32
4	1	0.348
4	2	0.288
4	3	0.256
4	4	0.308
4	5	0.304
4	6	0.304
4	7	0.264
4	8	0.336
4	9	0.268
4	10	0.272
4	11	0.324
4	12	0.368
4	13	0.232
4	14	0.3
4	15	0.324
4	16	0.36
4	17	0.324
4	18	0.34
4	19	0.244
4	20	0.3
4	21	0.312
4	22	0.232
4	23	0.272
4	24	0.336
5	1	0.3048
5	2	0.3104
5	3	0.3216
5	4	0.3184
5	5	0.3024
5	6	0.2992
5	7	0.2912
5	8	0.2944
5	9	0.308
5	10	0.3152
5	11	0.2832
5	12	0.3112
5	13	0.296
5	14	0.2904
5	15	0.2888
5	16	0.3032
5	17	0.2848
5	18	0.3016
5	19	0.2888
5	20	0.3136
5	21	0.312
5	22	0.3248
5	23	0.2968
5	24	0.2864
6	1	0.288
6	2	0.30384
6	3	0.29184
6	4	0.29616
6	5	0.29744
6	6	0.30272
6	7	0.30128
6	8	0.2984
6	9	0.29776
6	10	0.30416
6	11	0.3024
6	12	0.29984
6	13	0.30896
6	14	0.30192
6	15	0.3032
6	16	0.2936
6	17	0.29696
6	18	0.28832
6	19	0.30976
6	20	0.29808
6	21	0.30592
6	22	0.30608
6	23	0.30688
6	24	0.30592
