Node	Time	ActivationFactorUpRegulation
2	1	0.5
2	2	0.5
2	3	0.4
2	4	0.3
2	5	0.6
2	6	0.5
2	7	0.5
2	8	0.4
2	9	0.4
2	10	0.4
2	11	0.4
2	12	0.5
2	13	0.5
2	14	0.3
2	15	0.4
2	16	0.5
2	17	0.3
2	18	0.4
2	19	0.5
2	20	0.5
2	21	0.5
2	22	0.4
2	23	0.5
2	24	0.4
3	1	0.42
3	2	0.4
3	3	0.46
3	4	0.34
3	5	0.42
3	6	0.4
3	7	0.42
3	8	0.3
3	9	0.4
3	10	0.42
3	11	0.32
3	12	0.42
3	13	0.38
3	14	0.46
3	15	0.48
3	16	0.4
3	17	0.4
3	18	0.44
3	19	0.42
3	20	0.42
3	21	0.38
3	22	0.34
3	23	0.42
3	24	0.4
4	1	0.384
4	2	0.408
4	3	0.432
4	4	0.384
4	5	0.372
4	6	0.412
4	7	0.388
4	8	0.408
4	9	0.384
4	10	0.404
4	11	0.376
4	12	0.416
4	13	0.388
4	14	0.408
4	15	0.4
4	16	0.38
4	17	0.384
4	18	0.404
4	19	0.38
4	20	0.404
4	21	0.404
4	22	0.44
4	23	0.392
4	24	0.408
5	1	0.4032
5	2	0.4048
5	3	0.4032
5	4	0.4016
5	5	0.3888
5	6	0.396
5	7	0.4088
5	8	0.4168
5	9	0.392
5	10	0.396
5	11	0.384
5	12	0.3936
5	13	0.3944
5	14	0.392
5	15	0.4144
5	16	0.3968
5	17	0.4112
5	18	0.3904
5	19	0.4024
5	20	0.3912
5	21	0.396
5	22	0.3944
5	23	0.388
5	24	0.412
6	1	0.39616
6	2	0.40496
6	3	0.40752
6	4	0.40112
6	5	0.39712
6	6	0.40176
6	7	0.39408
6	8	0.4064
6	9	0.39872
6	10	0.39888
6	11	0.40672
6	12	0.40208
6	13	0.3984
6	14	0.39888
6	15	0.39568
6	16	0.39552
6	17	0.40272
6	18	0.40112
6	19	0.40192
6	20	0.40064
6	21	0.3984
6	22	0.39648
6	23	0.40208
6	24	0.40384
