Node	Time	Technology	AvailabilityFactor
2	1	Power_Grid	1.0
2	2	Power_Grid	1.0
2	3	Power_Grid	1.0
2	4	Power_Grid	1.0
2	5	Power_Grid	1.0
2	6	Power_Grid	1.0
2	7	Power_Grid	1.0
2	8	Power_Grid	1.0
2	9	Power_Grid	1.0
2	10	Power_Grid	1.0
2	11	Power_Grid	1.0
2	12	Power_Grid	1.0
2	13	Power_Grid	1.0
2	14	Power_Grid	1.0
2	15	Power_Grid	1.0
2	16	Power_Grid	1.0
2	17	Power_Grid	1.0
2	18	Power_Grid	1.0
2	19	Power_Grid	1.0
2	20	Power_Grid	1.0
2	21	Power_Grid	1.0
2	22	Power_Grid	1.0
2	23	Power_Grid	1.0
2	24	Power_Grid	1.0
2	1	ElectricBoiler	0.98
2	2	ElectricBoiler	0.98
2	3	ElectricBoiler	0.98
2	4	ElectricBoiler	0.98
2	5	ElectricBoiler	0.98
2	6	ElectricBoiler	0.98
2	7	ElectricBoiler	0.98
2	8	ElectricBoiler	0.98
2	9	ElectricBoiler	0.98
2	10	ElectricBoiler	0.98
2	11	ElectricBoiler	0.98
2	12	ElectricBoiler	0.98
2	13	ElectricBoiler	0.98
2	14	ElectricBoiler	0.98
2	15	ElectricBoiler	0.98
2	16	ElectricBoiler	0.98
2	17	ElectricBoiler	0.98
2	18	ElectricBoiler	0.98
2	19	ElectricBoiler	0.98
2	20	ElectricBoiler	0.98
2	21	ElectricBoiler	0.98
2	22	ElectricBoiler	0.98
2	23	ElectricBoiler	0.98
2	24	ElectricBoiler	0.98
2	1	HP_LT	0.98
2	2	HP_LT	0.98
2	3	HP_LT	0.98
2	4	HP_LT	0.98
2	5	HP_LT	0.98
2	6	HP_LT	0.98
2	7	HP_LT	0.98
2	8	HP_LT	0.98
2	9	HP_LT	0.98
2	10	HP_LT	0.98
2	11	HP_LT	0.98
2	12	HP_LT	0.98
2	13	HP_LT	0.98
2	14	HP_LT	0.98
2	15	HP_LT	0.98
2	16	HP_LT	0.98
2	17	HP_LT	0.98
2	18	HP_LT	0.98
2	19	HP_LT	0.98
2	20	HP_LT	0.98
2	21	HP_LT	0.98
2	22	HP_LT	0.98
2	23	HP_LT	0.98
2	24	HP_LT	0.98
2	1	HP_MT	0.98
2	2	HP_MT	0.98
2	3	HP_MT	0.98
2	4	HP_MT	0.98
2	5	HP_MT	0.98
2	6	HP_MT	0.98
2	7	HP_MT	0.98
2	8	HP_MT	0.98
2	9	HP_MT	0.98
2	10	HP_MT	0.98
2	11	HP_MT	0.98
2	12	HP_MT	0.98
2	13	HP_MT	0.98
2	14	HP_MT	0.98
