Node	Time	EnergyCarrier	ReferenceDemand
2	1	Biogas	0.0
2	1	CH4	0.0
2	1	CH4_H2_Mix	0.0
2	1	DummyFuel	0.0
2	1	Electricity	39.514124532546006
2	1	H2	0.0
2	1	LT	12.880631144664804
2	1	MT	57.6290730231623
2	2	Biogas	0.0
2	2	CH4	0.0
2	2	CH4_H2_Mix	0.0
2	2	DummyFuel	0.0
2	2	Electricity	39.47923511165537
2	2	H2	0.0
2	2	LT	12.880631144664804
2	2	MT	60.70206548819756
2	3	Biogas	0.0
2	3	CH4	0.0
2	3	CH4_H2_Mix	0.0
2	3	DummyFuel	0.0
2	3	Electricity	39.28818630602139
2	3	H2	0.0
2	3	LT	12.880631144664804
2	3	MT	60.70206548819756
2	4	Biogas	0.0
2	4	CH4	0.0
2	4	CH4_H2_Mix	0.0
2	4	DummyFuel	0.0
2	4	Electricity	39.48253173101669
2	4	H2	0.0
2	4	LT	12.880631144664804
2	4	MT	60.70206548819756
2	5	Biogas	0.0
2	5	CH4	0.0
2	5	CH4_H2_Mix	0.0
2	5	DummyFuel	0.0
2	5	Electricity	41.17395805044448
2	5	H2	0.0
2	5	LT	12.880631144664804
2	5	MT	60.70206548819756
2	6	Biogas	0.0
2	6	CH4	0.0
2	6	CH4_H2_Mix	0.0
2	6	DummyFuel	0.0
2	6	Electricity	46.08423793591267
2	6	H2	0.0
2	6	LT	12.880631144664804
2	6	MT	60.70206548819756
2	7	Biogas	0.0
2	7	CH4	0.0
2	7	CH4_H2_Mix	0.0
2	7	DummyFuel	0.0
2	7	Electricity	56.20583112482509
2	7	H2	0.0
2	7	LT	12.880631144664804
2	7	MT	60.70206548819756
2	8	Biogas	0.0
2	8	CH4	0.0
2	8	CH4_H2_Mix	0.0
2	8	DummyFuel	0.0
2	8	Electricity	68.73900759879645
2	8	H2	0.0
2	8	LT	39.90324035352207
2	8	MT	238.9915694069381
2	9	Biogas	0.0
2	9	CH4	0.0
2	9	CH4_H2_Mix	0.0
2	9	DummyFuel	0.0
2	9	Electricity	83.98612768741746
2	9	H2	0.0
2	9	LT	44.68479120136077
2	9	MT	269.167187388225
2	10	Biogas	0.0
2	10	CH4	0.0
2	10	CH4_H2_Mix	0.0
2	10	DummyFuel	0.0
2	10	Electricity	94.98344373356785
2	10	H2	0.0
2	10	LT	49.40580818174622
2	10	MT	297.57553455258864
2	11	Biogas	0.0
2	11	CH4	0.0
2	11	CH4_H2_Mix	0.0
2	11	DummyFuel	0.0
2	11	Electricity	99.5767908629684
2	11	H2	0.0
2	11	LT	49.40580818174622
2	11	MT	297.57553455258864
2	12	Biogas	0.0
2	12	CH4	0.0
2	12	CH4_H2_Mix	0.0
2	12	DummyFuel	0.0
2	12	Electricity	99.2527771792342
2	12	H2	0.0
2	12	LT	59.152857072579764
2	12	MT	356.06719918017706
2	13	Biogas	0.0
2	13	CH4	0.0
2	13	CH4_H2_Mix	0.0
2	13	DummyFuel	0.0
2	13	Electricity	90.24744543191545
2	13	H2	0.0
2	13	LT	59.152857072579764
2	13	MT	356.06719918017706
2	14	Biogas	0.0
2	14	CH4	0.0
2	14	CH4_H2_Mix	0.0
2	14	DummyFuel	0.0
2	14	Electricity	89.83253064070752
2	14	H2	0.0
2	14	LT	39.35374436085004
2	14	MT	237.40889962613875
2	15	Biogas	0.0
2	15	CH4	0.0
2	15	CH4_H2_Mix	0.0
2	15	DummyFuel	0.0
2	15	Electricity	96.47574091232958
2	15	H2	0.0
2	15	LT	59.152857072579764
2	15	MT	356.06719918017706
2	16	Biogas	0.0
