Node	Time	Res_CapacityDownVolume
1	1	261.5
1	2	261.5
1	3	261.5
1	4	261.5
1	5	261.5
1	6	261.5
1	7	204.0
1	8	204.0
1	9	165.5
1	10	140.5
1	11	165.5
1	12	214.5
1	13	206.0
1	14	219.5
1	15	189.5
1	16	84.5
1	17	115.5
1	18	114.5
1	19	190.5
1	20	190.5
1	21	204.0
1	22	229.0
1	23	261.5
1	24	195.0
2	1	232.5
2	2	239.0
2	3	237.6
2	4	239.0
2	5	237.2
2	6	222.3
2	7	152.2
2	8	138.9
2	9	143.8
2	10	127.0
2	11	140.1
2	12	209.6
2	13	248.9
2	14	240.5
2	15	217.5
2	16	106.9
2	17	96.9
2	18	110.0
2	19	152.5
2	20	166.9
2	21	175.0
2	22	172.4
2	23	200.7
2	24	230.7
3	1	241.38
3	2	242.66
3	3	243.4
3	4	243.94
3	5	243.86
3	6	234.12
3	7	186.12
3	8	174.44
3	9	174.0
3	10	161.54
3	11	177.72
3	12	222.08
3	13	248.54
3	14	257.6
3	15	239.88
3	16	165.18
3	17	142.02
3	18	139.32
3	19	162.06
3	20	181.42
3	21	181.66
3	22	184.16
3	23	201.72
3	24	237.98
4	1	254.82
4	2	257.62
4	3	261.224
4	4	261.504
4	5	260.22
4	6	239.42
4	7	187.156
4	8	173.06
4	9	166.828
4	10	160.208
4	11	182.724
4	12	236.62
4	13	257.356
4	14	262.176
4	15	245.712
4	16	156.08
4	17	138.756
4	18	133.732
4	19	174.112
4	20	185.596
4	21	187.112
4	22	190.416
4	23	212.744
4	24	250.616
5	1	254.7072
5	2	258.316
5	3	259.5392
5	4	258.8856
5	5	258.1592
5	6	237.1872
5	7	186.6656
5	8	174.8408
5	9	170.9224
5	10	164.1072
5	11	185.5672
5	12	240.8296
5	13	260.4152
5	14	263.8888
5	15	248.748
5	16	159.7392
5	17	142.8584
5	18	136.8016
5	19	174.1608
5	20	184.024
5	21	185.5272
5	22	190.3264
5	23	211.1736
5	24	253.3736
6	1	255.3016
6	2	258.77904
6	3	260.49664
6	4	260.07216
6	5	260.07184
6	6	239.88432
6	7	188.03072
6	8	175.432
6	9	170.7144
6	10	163.7472
6	11	187.84416
6	12	239.16032
6	13	258.17104
6	14	261.62064
6	15	247.56096
6	16	158.57152
6	17	143.00928
6	18	136.35968
6	19	173.78304
6	20	183.95952
6	21	186.41696
6	22	190.26608
6	23	211.8376
6	24	251.29824
