Node	Time	Res_CapacityUpVolume
1	1	158.5
1	2	146.0
1	3	146.0
1	4	146.0
1	5	153.5
1	6	153.5
1	7	166.0
1	8	156.5
1	9	158.0
1	10	158.0
1	11	158.0
1	12	158.0
1	13	150.5
1	14	150.5
1	15	150.5
1	16	150.5
1	17	158.0
1	18	142.0
1	19	166.0
1	20	166.0
1	21	153.5
1	22	153.5
1	23	153.5
1	24	150.0
2	1	63.8
2	2	62.6
2	3	62.3
2	4	63.8
2	5	67.7
2	6	71.2
2	7	79.2
2	8	111.4
2	9	110.6
2	10	114.1
2	11	110.1
2	12	98.1
2	13	83.0
2	14	82.5
2	15	80.5
2	16	85.3
2	17	97.0
2	18	118.4
2	19	110.1
2	20	105.7
2	21	96.0
2	22	84.7
2	23	77.6
2	24	86.5
3	1	75.4
3	2	68.56
3	3	73.26
3	4	71.7
3	5	88.72
3	6	98.22
3	7	129.42
3	8	139.28
3	9	138.66
3	10	132.62
3	11	120.02
3	12	117.4
3	13	100.92
3	14	95.66
3	15	94.38
3	16	94.32
3	17	106.8
3	18	134.42
3	19	145.8
3	20	145.12
3	21	136.56
3	22	113.64
3	23	99.56
3	24	88.58
4	1	74.46
4	2	72.36
4	3	71.724
4	4	71.988
4	5	86.92
4	6	110.176
4	7	131.396
4	8	146.02
4	9	141.896
4	10	134.456
4	11	120.824
4	12	113.648
4	13	100.108
4	14	94.324
4	15	94.012
4	16	98.104
4	17	118.988
4	18	135.056
4	19	139.504
4	20	136.236
4	21	128.108
4	22	116.904
4	23	101.016
4	24	83.988
5	1	70.6496
5	2	67.408
5	3	67.7848
5	4	67.3968
5	5	81.4088
5	6	105.7888
5	7	129.9408
5	8	139.7376
5	9	134.364
5	10	125.9208
5	11	113.36
5	12	106.3296
5	13	93.024
5	14	89.3976
5	15	88.8552
5	16	92.3088
5	17	113.284
5	18	132.616
5	19	138.2336
5	20	134.2072
5	21	125.3296
5	22	110.5528
5	23	96.4008
5	24	82.1992
6	1	73.24
6	2	69.34288
6	3	70.332
6	4	69.94848
6	5	82.91264
6	6	106.67424
6	7	128.82704
6	8	139.93088
6	9	135.79632
6	10	126.40432
6	11	115.09888
6	12	108.01792
6	13	95.10592
6	14	91.09456
6	15	91.11856
6	16	96.28096
6	17	115.98512
6	18	134.40864
6	19	138.71248
6	20	135.16272
6	21	126.47056
6	22	113.34288
6	23	99.84992
6	24	86.26
