Node	Time	ActivationDownPrice
2	1	39.563
2	2	38.644
2	3	37.994
2	4	36.945
2	5	36.769999999999996
2	6	40.059000000000005
2	7	44.186
2	8	47.743
2	9	45.049
2	10	44.772000000000006
2	11	43.943
2	12	44.754
2	13	39.940999999999995
2	14	38.907
2	15	37.946000000000005
2	16	39.272000000000006
2	17	45.073
2	18	48.32
2	19	48.525999999999996
2	20	48.948
2	21	48.047000000000004
2	22	42.739999999999995
2	23	40.44
2	24	40.551
3	1	31.01266
3	2	29.854400000000002
3	3	28.715799999999998
3	4	28.1276
3	5	28.83046
3	6	31.485599999999998
3	7	37.99
3	8	46.5672
3	9	49.034
3	10	46.492799999999995
3	11	46.187
3	12	42.4966
3	13	39.5506
3	14	37.2244
3	15	39.453599999999994
3	16	43.27554
3	17	47.22
3	18	51.83520000000001
3	19	49.35
3	20	48.4586
3	21	44.3926
3	22	38.635799999999996
3	23	35.4142
3	24	32.86824
4	1	32.263328
4	2	31.472136
4	3	30.41672
4	4	29.586576
4	5	30.588812
4	6	34.27516000000001
4	7	43.8392
4	8	55.26836
4	9	53.48002
4	10	49.844876000000006
4	11	45.52324
4	12	41.338768
4	13	36.83944
4	14	35.586456
4	15	37.679968
4	16	41.654095999999996
4	17	46.88624
4	18	52.334612
4	19	50.289559999999994
4	20	48.054019999999994
4	21	45.013040000000004
4	22	41.50368
4	23	38.820440000000005
4	24	36.018836
5	1	32.8733168
5	2	31.3025744
5	3	29.8804816
5	4	29.291491999999998
5	5	30.1500344
5	6	33.212952
5	7	41.86124
5	8	53.949904000000004
5	9	53.4294312
5	10	48.882564
5	11	45.3843464
5	12	42.2763848
5	13	38.0821288
5	14	36.239932
5	15	38.021345600000004
5	16	41.59856
5	17	45.7619352
5	18	50.482116
5	19	48.936344
5	20	47.04546
5	21	44.016152000000005
5	22	40.634904
5	23	37.943064
5	24	35.0498584
6	1	33.36230208
6	2	31.95262752
6	3	30.657849759999998
6	4	29.766944959999996
6	5	30.49769856
6	6	33.6649696
6	7	43.019424
6	8	53.6319696
6	9	52.61593392
6	10	48.08008192
6	11	44.5582576
6	12	41.65326368
6	13	37.8127616
6	14	36.18942784
6	15	38.06667712
6	16	41.36617568
6	17	45.28854048
6	18	50.04914576
6	19	49.905937599999994
6	20	48.2757616
6	21	44.824134400000005
6	22	41.47678304
6	23	38.6360464
6	24	35.80437392
