Node	Time	CapacityDownPrice
1	1	4.5
1	2	6.0
1	3	5.0
1	4	4.0
1	5	4.0
1	6	3.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	2.0
1	12	6.0
1	13	9.0
1	14	8.5
1	15	6.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	3.0
1	24	3.0
2	1	3.4
2	2	3.69
2	3	3.8
2	4	3.6
2	5	3.6700000000000004
2	6	3.5
2	7	2.2399999999999998
2	8	2.34
2	9	3.66
2	10	2.2399999999999998
2	11	2.19
2	12	3.3899999999999997
2	13	4.9399999999999995
2	14	6.05
2	15	4.41
2	16	2.19
2	17	2.29
2	18	3.44
2	19	2.6399999999999997
2	20	2.5300000000000002
2	21	2.83
2	22	2.5300000000000002
2	23	3.2
2	24	2.55
3	1	8.31
3	2	8.96
3	3	8.88
3	4	8.888
3	5	8.492
3	6	7.263999999999999
3	7	4.6
3	8	4.32
3	9	3.52
3	10	3.555
3	11	3.8710000000000004
3	12	6.565600000000001
3	13	9.613999999999999
3	14	11.8566
3	15	8.662
3	16	4.1739999999999995
3	17	2.43
3	18	3.1239999999999997
3	19	2.946
3	20	3.24
3	21	3.216
3	22	3.552
3	23	4.396
3	24	5.856
4	1	6.4924
4	2	7.0874
4	3	7.38528
4	4	7.377800000000001
4	5	6.9604
4	6	5.774
4	7	3.8294
4	8	3.2552
4	9	2.9748
4	10	2.73264
4	11	3.5524
4	12	5.891640000000001
4	13	8.940959999999999
4	14	10.545039999999998
4	15	6.8152
4	16	3.27332
4	17	2.69372
4	18	2.64412
4	19	2.6877199999999997
4	20	3.108
4	21	2.99212
4	22	3.1493200000000003
4	23	3.60812
4	24	5.0112
5	1	6.261352
5	2	6.890624000000001
5	3	7.028416
5	4	7.001760000000001
5	5	6.701712
5	6	5.5705599999999995
5	7	3.7128
5	8	3.2780400000000003
5	9	3.12252
5	10	2.993944
5	11	3.4572800000000004
5	12	5.58332
5	13	8.463175999999999
5	14	10.200455999999999
5	15	6.84288
5	16	3.528096
5	17	2.9028959999999997
5	18	2.9841759999999997
5	19	2.840096
5	20	3.2782400000000003
5	21	3.270416
5	22	3.3180160000000005
5	23	3.8613760000000004
5	24	4.8406400000000005
