Node	Time	CapacityUpPrice
1	1	2.5
1	2	2.0
1	3	2.0
1	4	2.5
1	5	4.0
1	6	27.0
1	7	64.0
1	8	68.5
1	9	62.0
1	10	56.0
1	11	52.0
1	12	45.5
1	13	45.0
1	14	49.0
1	15	53.0
1	16	58.0
1	17	67.5
1	18	77.0
1	19	74.56
1	20	68.5
1	21	59.5
1	22	39.5
1	23	14.5
1	24	12.649999999999999
2	1	5.090999999999999
2	2	3.3899999999999997
2	3	3.29
2	4	2.85
2	5	4.54
2	6	13.290000000000001
2	7	26.625999999999998
2	8	33.85
2	9	30.766999999999996
2	10	29.479000000000003
2	11	23.259999999999998
2	12	12.47
2	13	10.66
2	14	9.634
2	15	10.85
2	16	12.940000000000001
2	17	14.644
2	18	25.146
2	19	35.442
2	20	35.086
2	21	29.536
2	22	22.032
2	23	8.511
2	24	4.37
3	1	4.616
3	2	4.252
3	3	3.062
3	4	3.116
3	5	5.232
3	6	16.8754
3	7	34.080799999999996
3	8	43.849
3	9	42.0056
3	10	30.1072
3	11	25.831999999999997
3	12	20.919
3	13	18.0458
3	14	16.875
3	15	16.683
3	16	18.723
3	17	25.2902
3	18	35.168
3	19	43.462399999999995
3	20	42.193599999999996
3	21	34.7426
3	22	24.6858
3	23	17.2624
3	24	8.5008
4	1	3.909
4	2	3.24948
4	3	3.11288
4	4	3.12448
4	5	4.52008
4	6	14.18416
4	7	31.08004
4	8	38.55184
4	9	34.13068
4	10	27.314880000000002
4	11	22.34788
4	12	17.9878
4	13	15.926200000000001
4	14	14.035680000000001
4	15	17.122040000000002
4	16	17.7366
4	17	23.21264
4	18	31.247400000000003
4	19	36.51664
4	20	34.03028
4	21	29.27384
4	22	21.74932
4	23	12.8674
4	24	6.72492
5	1	4.18916
5	2	3.3125519999999997
5	3	2.989672
5	4	2.995272
5	5	4.645
5	6	14.614567999999998
5	7	32.10532
5	8	39.233528
5	9	36.178136
5	10	27.278344
5	11	22.178648000000003
5	12	18.129584
5	13	15.637167999999999
5	14	13.885504000000001
5	15	15.863168
5	16	17.671616
5	17	22.686024
5	18	31.813008
5	19	37.66972
5	20	35.441792
5	21	30.444896000000004
5	22	23.032624
5	23	13.421376
5	24	6.567991999999999
